claim_no,policy_no,claim_date,months_as_customer,injury,property,vehicle,total,collision_type,number_of_vehicles_involved,age,insured_relationship,license_issue_date,date,hour,type,severity,number_of_witnesses,suspicious_activity
f59f665f-c82f-4aa3-98b5-060c7a8f6d19,102049729,2016-01-26,259,780,780,3510,5070,Side Collision,4,40.0,unmarried,24-05-2006,2016-10-14,10,Multi-vehicle Collision,Minor Damage,0,false
f051f2ae-c92e-44f9-9bb8-3ab60b19341b,102147750,2020-08-18,261,9680,14520,38720,62920,Side Collision,4,24.0,other-relative,25-10-2016,2021-05-09,7,Multi-vehicle Collision,Major Damage,2,false
1aec2184-3a54-4b3b-a41b-51b79feb4538,102139065,2020-01-20,86,4060,4060,24360,32480,Rear Collision,1,32.0,own-child,22-12-2008,2020-10-11,3,Parked Car,Total Loss,0,false
22b8e795-10e8-4981-b62c-59607a215655,102099757,2017-04-12,121,670,670,4690,6030,Rear Collision,1,23.0,other-relative,12-08-2012,2017-11-27,21,Parked Car,Total Loss,0,false
5ccc8c8f-d199-4cad-af49-90e45a729489,102071474,2017-01-22,215,15620,7810,54670,78100,Front Collision,1,26.0,husband,08-08-2012,2017-05-21,9,Single Vehicle Collision,Major Damage,3,true
7730a464-78e3-49ee-98b4-40072c13f492,102136098,2019-10-14,290,4570,4570,31990,41130,Front Collision,4,27.0,unmarried,26-01-2014,2020-03-30,19,Multi-vehicle Collision,Major Damage,2,false
6bbca89a-4c02-4beb-ab06-63d301f6f39e,102106062,2017-06-17,371,4730,4730,37840,47300,Rear Collision,1,30.0,not-in-family,07-01-2010,2018-02-03,2,Single Vehicle Collision,Major Damage,0,true
25144193-d014-44d7-ad7d-771337bd294c,102131860,2019-07-06,338,5190,10380,36330,51900,Side Collision,4,37.0,unmarried,01-05-2016,2020-02-22,21,Multi-vehicle Collision,Minor Damage,3,true
fae3651c-f0c8-421b-bbbe-3483d6c03def,102097981,2017-04-12,190,4940,9880,34580,49400,Front Collision,4,23.0,wife,29-11-2016,2017-12-03,22,Multi-vehicle Collision,Minor Damage,1,false
c0c6bd09-de4c-4697-8772-d55629f81b78,102076310,2017-03-13,280,5350,5350,42800,53500,Side Collision,4,38.0,not-in-family,11-06-2008,2017-10-31,4,Multi-vehicle Collision,Total Loss,2,false
25a0d0a3-4598-4f02-a5af-4a47f054f2d5,102058330,2016-08-12,136,5940,5940,41580,53460,Side Collision,1,42.0,not-in-family,16-09-1993,2017-04-04,10,Vehicle Theft,Minor Damage,3,false
2278a8ca-e2f0-45dd-87c3-9036df8cbba6,102059389,2016-08-16,243,14160,7080,56640,77880,Front Collision,1,61.0,own-child,15-11-1982,2017-01-11,3,Vehicle Theft,Major Damage,2,false
c5c67700-a724-403b-b734-1ab335364fea,102135482,2019-10-28,124,14020,14020,49070,77110,Front Collision,1,29.0,own-child,01-11-2010,2020-06-09,4,Single Vehicle Collision,Minor Damage,0,true
0794d298-45fc-46b5-aa96-74c78f768a4b,102135576,2019-10-30,200,17060,8530,59710,85300,Rear Collision,4,45.0,unmarried,07-11-2004,2020-05-20,19,Multi-vehicle Collision,Total Loss,1,true
f052e295-1579-4678-94e7-05f3d5c679c2,102073465,2017-02-09,247,6830,13660,47810,68300,Side Collision,4,40.0,not-in-family,17-04-2006,2017-09-02,5,Multi-vehicle Collision,Minor Damage,2,false
2cdb82e5-2cc7-4daf-9407-a683875fd0ff,102068620,2016-12-19,265,780,390,3120,4290,Rear Collision,4,29.0,other-relative,01-08-2006,2017-08-06,12,Multi-vehicle Collision,Major Damage,0,false
375d10a8-8dbc-413f-8000-60a65f8ab15b,102134099,2019-08-24,124,8580,4290,21450,34320,Front Collision,4,64.0,own-child,21-12-1984,2020-03-17,0,Multi-vehicle Collision,Total Loss,2,false
4f5fda5b-b2c9-43ad-b6a3-8f5a63e7829d,102083493,2017-05-12,29,6800,6800,27200,40800,Rear Collision,4,43.0,not-in-family,16-09-1993,2017-11-30,7,Multi-vehicle Collision,Total Loss,0,false
