customer_id,date_of_birth,borough,neighborhood,zip_code,name
104.0,null,BROOKLYN,NORTHWEST BROOKLYN,11215,"Schmitt, Marlene"
106.0,01-01-1999,BROOKLYN,FLATBUSH,11203,"Engel, Lara"
111.0,null,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10017,"Sauer, Noah"
112.0,01-01-2000,MANHATTAN,CHELSEA AND CLINTON,10019,"Michel, Mila"
113.0,18-05-2009,STATEN ISLAND,STAPLETON AND ST. GEORGE,10301,"Seidel, Leni"
115.0,16-05-2005,QUEENS,CENTRAL QUEENS,11365,"Schreiber, Laurin"
117.0,12-11-2010,QUEENS,SOUTHEAST QUEENS,11005,"Schuster, Frieda"
128.0,23-10-1997,MANHATTAN,CENTRAL HARLEM,10027,"Stephan, Alexander"
130.0,12-11-2010,STATEN ISLAND,PORT RICHMOND,10303,"Schilling, Leni"
136.0,01-01-1999,BROOKLYN,SOUTHERN BROOKLYN,11229,"Klein, Malte"
137.0,01-01-1999,BRONX,HIGH BRIDGE AND MORRISANIA,10456,"Stephan, Frieda"
140.0,01-01-2000,STATEN ISLAND,PORT RICHMOND,10310,"Förster, Ella"
146.0,16-05-2005,MANHATTAN,CENTRAL HARLEM,10027,"Michel, Simon"
148.0,01-01-2000,MANHATTAN,LOWER EAST SIDE,10002,"Krüger, Nils"
149.0,null,QUEENS,NORTHEAST QUEENS,11364,"Wagner, David"
151.0,null,QUEENS,ROCKAWAYS,11695,"Berger, Luis"
154.0,16-05-2005,QUEENS,NORTHEAST QUEENS,11361,"Freitag, Lea"
156.0,13-04-1993,QUEENS,JAMAICA,11434,"Barth, Nora"
158.0,null,BRONX,NORTHEAST BRONX,10469,"Schulz, Noah"
165.0,21-05-1992,BROOKLYN,BOROUGH PARK,11204,"Ludwig, Emil"
167.0,07-08-1994,BRONX,HIGH BRIDGE AND MORRISANIA,10452,"Ludwig, Jakob"
172.0,null,QUEENS,JAMAICA,11433,"Freitag, Nele"
179.0,01-01-2005,QUEENS,SOUTHEAST QUEENS,11005,"Bauer, Philipp"
181.0,01-01-1999,BRONX,KINGSBRIDGE AND RIVERDALE,10463,"Simon, Samuel"
186.0,12-11-2010,QUEENS,ROCKAWAYS,11692,"Linke, David"
190.0,01-01-2000,QUEENS,JAMAICA,11412,"Krämer, Helene"
191.0,12-11-2010,MANHATTAN,CENTRAL HARLEM,10039,"Heinrich, Hannes"
193.0,10-06-1978,QUEENS,SOUTHEAST QUEENS,11426,"Pohl, Nora"
194.0,01-01-2000,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,10010,"Böhm, Julius"
195.0,01-01-2000,QUEENS,WEST CENTRAL QUEENS,11379,"Lehmann, Dennis"
